ID,Phrase,Sentiment
1,The plaintiff's claims are dismissed.,Negative
2,The contract is deemed valid and enforceable.,Positive
3,The appeal is denied due to lack of merit.,Negative
4,The legal team submitted additional evidence.,Positive
5,The appeal is under consideration.,Neutral
6,The settlement agreement is fair and reasonable.,Positive
7,The appeal is under consideration.,Neutral
8,The settlement agreement is fair and reasonable.,Positive
9,The court reviewed the documentation.,Neutral
10,The contract is deemed valid and enforceable.,Positive
11,The contract is deemed valid and enforceable.,Positive
12,The legal team submitted additional evidence.,Positive
13,The court reviewed the documentation.,Neutral
14,The court reviewed the documentation.,Neutral
15,The court reviewed the documentation.,Neutral
16,The contract is declared void.,Negative
17,The appeal is denied due to lack of merit.,Negative
18,The motion to dismiss is granted.,Positive
19,The defendant is found guilty.,Negative
20,The hearing is scheduled for next month.,Neutral
21,The settlement agreement is fair and reasonable.,Positive
22,The settlement agreement is fair and reasonable.,Positive
23,The court reviewed the documentation.,Neutral
24,The plaintiff's claims are dismissed.,Negative
25,The plaintiff's claims are dismissed.,Negative
26,The settlement agreement is fair and reasonable.,Positive
27,The defendant is found guilty.,Negative
28,The court finds in favor of the plaintiff.,Positive
29,The court reviewed the documentation.,Neutral
30,The settlement agreement is fair and reasonable.,Positive
31,The motion is denied by the court.,Negative
32,The legal team submitted additional evidence.,Positive
33,The appeal is denied due to lack of merit.,Negative
34,The defendant is acquitted of all charges.,Positive
35,The settlement agreement is fair and reasonable.,Positive
36,The contract is declared void.,Negative
37,The court reviewed the documentation.,Neutral
38,The legal team submitted additional evidence.,Positive
39,The appeal is denied due to lack of merit.,Negative
40,The contract is declared void.,Negative
41,The legal team submitted additional evidence.,Positive
42,The plaintiff's claims are dismissed.,Negative
43,The appeal is denied due to lack of merit.,Negative
44,The hearing is scheduled for next month.,Neutral
45,The legal team submitted additional evidence.,Positive
46,The motion to dismiss is granted.,Positive
47,The appeal is under consideration.,Neutral
48,The contract is deemed valid and enforceable.,Positive
49,The legal team submitted additional evidence.,Positive
50,The motion is denied by the court.,Negative
51,The defendant is found guilty.,Negative
52,The defendant is acquitted of all charges.,Positive
53,The defendant is acquitted of all charges.,Positive
54,The contract is declared void.,Negative
55,The plaintiff's claims are dismissed.,Negative
56,The hearing is scheduled for next month.,Neutral
57,The appeal is denied due to lack of merit.,Negative
58,The plaintiff's claims are dismissed.,Negative
59,The case was transferred to another jurisdiction.,Neutral
60,The plaintiff's claims are dismissed.,Negative
61,The plaintiff's claims are dismissed.,Negative
62,The case was transferred to another jurisdiction.,Neutral
63,The court finds in favor of the plaintiff.,Positive
64,The motion to dismiss is granted.,Positive
65,The hearing is scheduled for next month.,Neutral
66,The defendant is found guilty.,Negative
67,The plaintiff's claims are dismissed.,Negative
68,The appeal is under consideration.,Neutral
69,The motion to dismiss is granted.,Positive
70,The defendant is found guilty.,Negative
71,The motion is denied by the court.,Negative
72,The contract is deemed valid and enforceable.,Positive
73,The court finds in favor of the plaintiff.,Positive
74,The plaintiff's claims are dismissed.,Negative
75,The motion to dismiss is granted.,Positive
76,The motion to dismiss is granted.,Positive
77,The contract is declared void.,Negative
78,The plaintiff's claims are dismissed.,Negative
79,The defendant is found guilty.,Negative
80,The appeal is under consideration.,Neutral
